Employee_id,survey_date,satisfaction_score,feedback_comments,engagement_level,survey_type
1,5/8/2024,1,การทำงานและชีวิตส่วนตัวสมดุลดี,Medium,Annual
2,4/2/2024,5,งานเยอะและบางครั้งรู้สึกหนักไป,High,Quarterly
3,21/9/2024,1,บรรยากาศการทำงานเป็นมิตรและให้การสนับสนุนดี,High,Annual
4,17/8/2024,3,อยากให้มีกิจกรรมที่สร้างความสัมพันธ์ในทีมมากขึ้น,Low,Annual
5,7/4/2024,3,การทำงานที่ยืดหยุ่นกว่านี้จะช่วยได้มาก,Low,Monthly
6,8/4/2024,5,ต้องการโอกาสในการเติบโตในอาชีพเพิ่มเติม,Medium,Quarterly
7,3/11/2023,5,งานเยอะและความรับผิดชอบสูง,Low,Quarterly
8,5/10/2024,3,บางครั้งรู้สึกว่างานหนักเกินไป,High,Monthly
9,11/2/2024,3,สมดุลการทำงานดี แต่ยังมีที่ปรับปรุงได้,High,Annual
10,4/11/2023,4,มองหาการเติบโตและพัฒนาทักษะเพิ่มเติม,Low,Quarterly
11,14/2/2024,2,โปรเจกต์ปัจจุบันตรงตามความคาดหวัง,Medium,Quarterly
12,16/10/2024,1,อยากให้มีการจัดกิจกรรมที่ช่วยกระชับความสัมพันธ์ในทีมมากขึ้น,Low,Annual
13,25/3/2024,4,บางครั้งงานเยอะและเครียด,High,Monthly
14,26/9/2024,2,สมดุลการทำงานและชีวิตส่วนตัวดี,Medium,Quarterly
15,19/3/2024,1,ต้องการการสนับสนุนจากฝ่ายบริหารมากกว่านี้,Medium,Quarterly
16,6/11/2023,4,มีที่ว่างสำหรับการปรับปรุงการสนับสนุนจากผู้บริหาร,Medium,Annual
17,22/2/2024,2,ผู้บริหารให้การสนับสนุนพอใช้ได้,High,Monthly
18,9/12/2023,3,อยากให้มีการจัดกิจกรรมร่วมกันในทีมมากขึ้น,High,Monthly
19,8/1/2024,4,ต้องการชั่วโมงการทำงานที่ยืดหยุ่นกว่าเดิม,Medium,Quarterly
20,1/2/2024,2,ต้องการการสนับสนุนจากฝ่ายบริหารมากกว่านี้,Low,Quarterly
21,9/6/2024,4,ต้องการความยืดหยุ่นในการทำงานที่มากขึ้น,Medium,Annual
22,29/5/2024,3,บรรยากาศการทำงานดี มีความเป็นกันเอง,High,Annual
23,1/5/2024,4,สมดุลชีวิตและการทำงานดี,High,Quarterly
24,30/10/2024,3,ต้องการโอกาสเติบโตในสายงาน,High,Annual
25,13/5/2024,1,ปริมาณงานบางครั้งรู้สึกหนักไปบ้าง,Low,Annual
26,1/12/2023,2,ทีมงานและบรรยากาศทำงานดี,Medium,Monthly
27,8/11/2023,5,รู้สึกว่าสมดุลการทำงานและชีวิตดีขึ้น,Medium,Quarterly
28,21/3/2024,5,รู้สึกมีส่วนร่วมมากขึ้นช่วงนี้,High,Monthly
29,5/7/2024,2,โปรเจกต์ปัจจุบันตรงตามความคาดหวัง,Low,Annual
30,16/3/2024,5,การทำงานที่ยืดหยุ่นช่วยสร้างสมดุล,Medium,Annual
31,26/11/2023,1,ทีมงานน่ารักและบรรยากาศดี,High,Annual
32,12/1/2024,2,การทำงานและชีวิตส่วนตัวค่อนข้างสมดุล,Low,Monthly
33,18/9/2024,5,ประสบการณ์การทำงานโดยรวมดีมาก,Low,Annual
34,3/9/2024,3,งานบางครั้งอาจจะเครียดไปบ้าง,Medium,Annual
35,11/6/2024,4,บรรยากาศการทำงานดีและสนับสนุน,Low,Monthly
36,6/4/2024,1,ต้องการกิจกรรมที่เสริมความสัมพันธ์ในทีม,Medium,Monthly
37,2/12/2023,3,ต้องการเวลาทำงานที่ยืดหยุ่นมากขึ้น,High,Annual
38,21/10/2024,5,การทำงานยืดหยุ่นมากขึ้นจะช่วยได้,Low,Monthly
39,30/11/2023,5,การจัดกิจกรรมทีมช่วยสร้างความผูกพันมาก,Medium,Monthly
40,1/12/2023,5,บางครั้งงานเยอะและเหนื่อยล้า,Medium,Annual
41,15/8/2024,1,อยากได้การทำงานที่ยืดหยุ่นขึ้น,Medium,Monthly
42,28/7/2024,3,ประสบการณ์โดยรวมโอเค,Low,Monthly
43,15/4/2024,2,อยากให้มีกิจกรรมในทีมบ้าง,Low,Annual
44,19/1/2024,4,รู้สึกว่ามีส่วนร่วมมากขึ้นเมื่อไม่นานมานี้,Low,Quarterly
45,8/10/2024,1,ต้องการโอกาสเติบโตในสายงาน,Low,Quarterly
46,30/12/2023,2,ผู้บริหารควรให้การสนับสนุนมากขึ้น,Low,Monthly
47,8/10/2024,1,ประสบการณ์โดยรวมดี,High,Quarterly
48,17/2/2024,4,สมดุลการทำงานและชีวิตส่วนตัวดี,Low,Quarterly
49,23/11/2023,1,ต้องการการสนับสนุนเพิ่มเติมจากฝ่ายบริหาร,Low,Monthly
50,28/6/2024,2,การทำงานในทีมดี,Medium,Monthly
51,30/1/2024,5,รู้สึกงานบางครั้งหนักและเครียด,Medium,Monthly
52,20/3/2024,4,ต้องการการเติบโตในอาชีพมากขึ้น,Low,Annual
53,1/1/2024,1,การมีส่วนร่วมในโปรเจกต์ช่วยให้รู้สึกเชื่อมโยง,Low,Quarterly
54,23/5/2024,5,โปรเจกต์ปัจจุบันตอบโจทย์,High,Annual
55,6/3/2024,4,ต้องการการสนับสนุนจากทีมงาน,Medium,Quarterly
56,23/2/2024,5,รู้สึกเครียดกับงานที่มีปริมาณเยอะ,Low,Quarterly
57,17/4/2024,1,ต้องการความยืดหยุ่นในการทำงานมากขึ้น,High,Monthly
58,20/11/2023,5,การมีโอกาสเติบโตเป็นสิ่งที่ต้องการ,High,Monthly
59,3/7/2024,2,การสนับสนุนจากผู้บริหารยังมีที่ให้พัฒนา,Medium,Quarterly
60,29/12/2023,1,งานบางครั้งหนักแต่ก็น่าสนใจ,High,Monthly
61,3/2/2024,3,รู้สึกว่ามีการพัฒนาในโปรเจกต์ปัจจุบัน,Medium,Monthly
62,2/11/2023,4,โปรเจกต์ปัจจุบันช่วยเพิ่มทักษะ,Medium,Quarterly
63,2/11/2023,5,งานเยอะ แต่สนุกกับสิ่งที่ทำ,Low,Quarterly
64,3/6/2024,5,ต้องการโอกาสในการเติบโตในอาชีพเพิ่มเติม,High,Quarterly
65,4/11/2023,5,ทีมงานน่ารักและบรรยากาศดี,Medium,Quarterly
66,6/5/2024,3,รู้สึกเครียดกับงานที่มีปริมาณเยอะ,High,Quarterly
67,13/11/2023,5,งานเยอะและความรับผิดชอบสูง,Medium,Monthly
68,10/4/2024,5,ประสบการณ์การทำงานโดยรวมดีมาก,Low,Quarterly
69,13/9/2024,2,ต้องการการสนับสนุนเพิ่มเติมจากฝ่ายบริหาร,High,Monthly
70,16/9/2024,4,ต้องการการสนับสนุนจากทีมงาน,Low,Quarterly
71,26/11/2023,1,อยากได้การทำงานที่ยืดหยุ่นขึ้น,High,Annual
72,29/1/2024,1,การสนับสนุนจากผู้บริหารยังมีที่ให้พัฒนา,High,Quarterly
73,16/10/2024,5,อยากให้มีกิจกรรมที่สร้างความสัมพันธ์ในทีมมากขึ้น,Low,Monthly
74,17/2/2024,5,การทำงานที่ยืดหยุ่นกว่านี้จะช่วยได้มาก,High,Quarterly
75,21/11/2023,4,รู้สึกมีส่วนร่วมมากขึ้นช่วงนี้,Low,Annual
76,27/9/2024,4,งานเยอะและบางครั้งรู้สึกหนักไป,High,Quarterly
77,6/11/2023,2,งานเยอะ แต่สนุกกับสิ่งที่ทำ,Low,Annual
78,5/12/2023,5,การทำงานที่ยืดหยุ่นช่วยสร้างสมดุล,Low,Annual
79,4/11/2023,3,ต้องการกิจกรรมที่เสริมความสัมพันธ์ในทีม,Low,Quarterly
80,16/5/2024,1,ประสบการณ์โดยรวมดี,High,Quarterly
81,21/7/2024,5,ต้องการโอกาสเติบโตในสายงาน,Low,Annual
82,30/9/2024,1,ต้องการเวลาทำงานที่ยืดหยุ่นมากขึ้น,High,Monthly
83,8/11/2023,5,ปริมาณงานบางครั้งรู้สึกหนักไปบ้าง,Low,Monthly
84,15/2/2024,1,โปรเจกต์ปัจจุบันตอบโจทย์,High,Monthly
85,2/11/2023,4,การทำงานและชีวิตส่วนตัวค่อนข้างสมดุล,Medium,Monthly
86,13/8/2024,3,ต้องการการสนับสนุนจากฝ่ายบริหารมากกว่านี้,High,Annual
87,9/3/2024,1,ต้องการการเติบโตในอาชีพมากขึ้น,Medium,Annual
88,8/9/2024,1,การมีโอกาสเติบโตเป็นสิ่งที่ต้องการ,Medium,Monthly
89,29/11/2023,4,ประสบการณ์โดยรวมโอเค,Low,Annual
90,4/10/2024,4,ต้องการความยืดหยุ่นในการทำงานมากขึ้น,Medium,Quarterly
91,13/10/2024,4,สมดุลการทำงานและชีวิตส่วนตัวดี,Low,Monthly
92,12/9/2024,1,งานบางครั้งหนักแต่ก็น่าสนใจ,Medium,Monthly
93,4/11/2023,2,ต้องการความยืดหยุ่นในการทำงานที่มากขึ้น,High,Monthly
94,6/3/2024,3,รู้สึกงานบางครั้งหนักและเครียด,Medium,Quarterly
95,10/7/2024,3,รู้สึกว่ามีการพัฒนาในโปรเจกต์ปัจจุบัน,Low,Quarterly
96,2/8/2024,2,การมีส่วนร่วมในโปรเจกต์ช่วยให้รู้สึกเชื่อมโยง,High,Monthly
97,14/10/2024,3,โปรเจกต์ปัจจุบันตรงตามความคาดหวัง,High,Annual
98,26/12/2023,3,อยากให้มีการจัดกิจกรรมร่วมกันในทีมมากขึ้น,High,Quarterly
99,9/7/2024,2,โปรเจกต์ปัจจุบันช่วยเพิ่มทักษะ,Medium,Monthly
100,14/3/2024,2,บางครั้งรู้สึกว่างานหนักเกินไป,Low,Quarterly
1,16/1/2024,5,บรรยากาศการทำงานดี มีความเป็นกันเอง,High,Annual
2,25/10/2024,5,รู้สึกว่าสมดุลการทำงานและชีวิตดีขึ้น,Medium,Annual
3,12/8/2024,4,บางครั้งงานเยอะและเครียด,Medium,Quarterly
4,4/7/2024,2,การจัดกิจกรรมทีมช่วยสร้างความผูกพันมาก,Medium,Quarterly
5,4/4/2024,5,ต้องการชั่วโมงการทำงานที่ยืดหยุ่นกว่าเดิม,High,Monthly
6,21/6/2024,3,สมดุลชีวิตและการทำงานดี,Medium,Monthly
7,2/1/2024,3,บรรยากาศการทำงานเป็นมิตรและให้การสนับสนุนดี,Medium,Monthly
8,8/1/2024,1,โปรเจกต์ปัจจุบันตรงตามความคาดหวัง,Low,Annual
9,20/8/2024,2,อยากให้มีการจัดกิจกรรมที่ช่วยกระชับความสัมพันธ์ในทีมมากขึ้น,Medium,Annual
10,16/11/2023,4,ผู้บริหารให้การสนับสนุนพอใช้ได้,Medium,Quarterly
11,22/3/2024,1,การทำงานและชีวิตส่วนตัวสมดุลดี,Medium,Quarterly
12,2/5/2024,2,การทำงานยืดหยุ่นมากขึ้นจะช่วยได้,High,Monthly
13,28/3/2024,4,ต้องการการสนับสนุนจากฝ่ายบริหารมากกว่านี้,Medium,Annual
14,3/11/2023,5,อยากให้มีกิจกรรมในทีมบ้าง,High,Annual
15,18/1/2024,1,มีที่ว่างสำหรับการปรับปรุงการสนับสนุนจากผู้บริหาร,Low,Quarterly
16,9/10/2024,1,บรรยากาศการทำงานดีและสนับสนุน,Low,Monthly
17,12/10/2024,5,สมดุลการทำงานและชีวิตส่วนตัวดี,Medium,Monthly
18,27/6/2024,3,บางครั้งงานเยอะและเหนื่อยล้า,High,Quarterly
19,2/12/2023,4,รู้สึกว่ามีส่วนร่วมมากขึ้นเมื่อไม่นานมานี้,Medium,Monthly
20,6/8/2024,5,มองหาการเติบโตและพัฒนาทักษะเพิ่มเติม,Medium,Monthly
21,10/4/2024,1,ทีมงานและบรรยากาศทำงานดี,High,Quarterly
22,22/4/2024,3,ต้องการโอกาสเติบโตในสายงาน,High,Annual
23,19/8/2024,4,การทำงานในทีมดี,Low,Monthly
24,17/10/2024,2,ผู้บริหารควรให้การสนับสนุนมากขึ้น,High,Quarterly
25,18/5/2024,1,งานบางครั้งอาจจะเครียดไปบ้าง,Medium,Monthly
26,14/2/2024,2,สมดุลการทำงานดี แต่ยังมีที่ปรับปรุงได้,Low,Quarterly
27,16/7/2024,5,การมีโอกาสเติบโตเป็นสิ่งที่ต้องการ,Medium,Quarterly
28,28/11/2023,2,ประสบการณ์การทำงานโดยรวมดีมาก,Medium,Monthly
29,2/12/2023,4,ทีมงานและบรรยากาศทำงานดี,Low,Annual
30,13/5/2024,4,รู้สึกว่าสมดุลการทำงานและชีวิตดีขึ้น,Low,Quarterly
31,19/7/2024,4,บรรยากาศการทำงานดีและสนับสนุน,Low,Quarterly
32,8/11/2023,1,บรรยากาศการทำงานดี มีความเป็นกันเอง,Medium,Monthly
33,2/8/2024,2,ต้องการการสนับสนุนจากฝ่ายบริหารมากกว่านี้,High,Monthly
34,29/5/2024,5,โปรเจกต์ปัจจุบันตรงตามความคาดหวัง,Medium,Quarterly
35,18/4/2024,4,อยากได้การทำงานที่ยืดหยุ่นขึ้น,Medium,Annual
36,21/12/2023,3,ต้องการโอกาสเติบโตในสายงาน,Medium,Quarterly
37,28/9/2024,5,การมีส่วนร่วมในโปรเจกต์ช่วยให้รู้สึกเชื่อมโยง,Low,Quarterly
38,16/2/2024,4,ต้องการเวลาทำงานที่ยืดหยุ่นมากขึ้น,Low,Annual
39,9/7/2024,1,ต้องการความยืดหยุ่นในการทำงานมากขึ้น,Medium,Monthly
40,16/8/2024,4,การทำงานที่ยืดหยุ่นช่วยสร้างสมดุล,High,Monthly
41,27/6/2024,4,งานเยอะและความรับผิดชอบสูง,Medium,Annual
42,25/12/2023,1,ปริมาณงานบางครั้งรู้สึกหนักไปบ้าง,High,Annual
43,25/12/2023,1,งานบางครั้งอาจจะเครียดไปบ้าง,Medium,Quarterly
44,13/11/2023,4,ต้องการโอกาสเติบโตในสายงาน,High,Quarterly
45,17/5/2024,3,ต้องการชั่วโมงการทำงานที่ยืดหยุ่นกว่าเดิม,Medium,Quarterly
46,24/8/2024,4,ผู้บริหารควรให้การสนับสนุนมากขึ้น,Medium,Annual
47,13/6/2024,2,การมีโอกาสเติบโตเป็นสิ่งที่ต้องการ,Medium,Monthly
48,7/3/2024,5,มองหาการเติบโตและพัฒนาทักษะเพิ่มเติม,High,Annual
49,18/2/2024,5,การทำงานที่ยืดหยุ่นกว่านี้จะช่วยได้มาก,Medium,Annual
50,5/12/2023,4,อยากให้มีกิจกรรมในทีมบ้าง,Medium,Monthly
51,28/7/2024,5,โปรเจกต์ปัจจุบันช่วยเพิ่มทักษะ,Low,Monthly
52,22/4/2024,5,งานเยอะและบางครั้งรู้สึกหนักไป,High,Monthly
53,8/2/2024,1,ทีมงานน่ารักและบรรยากาศดี,High,Annual
54,23/8/2024,1,ผู้บริหารให้การสนับสนุนพอใช้ได้,Low,Annual
55,23/7/2024,2,ประสบการณ์โดยรวมโอเค,High,Monthly
56,28/3/2024,2,การทำงานยืดหยุ่นมากขึ้นจะช่วยได้,High,Quarterly
57,4/4/2024,2,ต้องการกิจกรรมที่เสริมความสัมพันธ์ในทีม,High,Monthly
58,16/2/2024,3,สมดุลการทำงานดี แต่ยังมีที่ปรับปรุงได้,Low,Monthly
59,4/5/2024,2,การทำงานและชีวิตส่วนตัวค่อนข้างสมดุล,High,Quarterly
60,25/9/2024,4,อยากให้มีกิจกรรมที่สร้างความสัมพันธ์ในทีมมากขึ้น,Medium,Monthly
61,2/8/2024,2,บางครั้งงานเยอะและเครียด,High,Monthly
62,9/6/2024,1,อยากให้มีกิจกรรมในทีมบ้าง,Low,Quarterly
63,16/4/2024,3,บางครั้งงานเยอะและเหนื่อยล้า,Low,Monthly
64,29/6/2024,4,รู้สึกเครียดกับงานที่มีปริมาณเยอะ,Low,Annual
65,13/12/2023,5,ผู้บริหารควรให้การสนับสนุนมากขึ้น,High,Annual
66,19/2/2024,2,ต้องการกิจกรรมที่เสริมความสัมพันธ์ในทีม,High,Quarterly
67,15/1/2024,3,สมดุลชีวิตและการทำงานดี,Low,Annual
68,25/2/2024,1,รู้สึกงานบางครั้งหนักและเครียด,Low,Annual
69,12/7/2024,1,ต้องการโอกาสในการเติบโตในอาชีพเพิ่มเติม,High,Monthly
70,27/12/2023,2,งานเยอะ แต่สนุกกับสิ่งที่ทำ,Low,Quarterly
71,7/11/2023,5,การทำงานในทีมดี,Low,Annual
72,2/8/2024,1,ทีมงานน่ารักและบรรยากาศดี,Low,Monthly
73,14/9/2024,5,สมดุลชีวิตและการทำงานดี,Low,Quarterly
74,28/3/2024,3,ต้องการการสนับสนุนจากฝ่ายบริหารมากกว่านี้,Medium,Quarterly
75,2/12/2023,2,ต้องการการสนับสนุนจากทีมงาน,Medium,Annual
76,23/9/2024,5,การทำงานที่ยืดหยุ่นกว่านี้จะช่วยได้มาก,Low,Monthly
77,30/8/2024,3,มีที่ว่างสำหรับการปรับปรุงการสนับสนุนจากผู้บริหาร,Low,Quarterly
78,18/4/2024,5,บรรยากาศการทำงานเป็นมิตรและให้การสนับสนุนดี,Medium,Quarterly
79,12/3/2024,4,อยากให้มีการจัดกิจกรรมร่วมกันในทีมมากขึ้น,High,Monthly
80,4/7/2024,2,การจัดกิจกรรมทีมช่วยสร้างความผูกพันมาก,High,Annual
81,9/11/2023,3,ต้องการโอกาสเติบโตในสายงาน,Low,Annual
82,9/9/2024,5,อยากให้มีกิจกรรมที่สร้างความสัมพันธ์ในทีมมากขึ้น,Medium,Monthly
83,22/12/2023,4,ต้องการการเติบโตในอาชีพมากขึ้น,Medium,Annual
84,9/12/2023,5,ประสบการณ์การทำงานโดยรวมดีมาก,Medium,Monthly
85,19/5/2024,3,สมดุลการทำงานและชีวิตส่วนตัวดี,Low,Annual
86,12/11/2023,1,อยากให้มีการจัดกิจกรรมที่ช่วยกระชับความสัมพันธ์ในทีมมากขึ้น,Low,Annual
87,27/7/2024,5,การทำงานในทีมดี,Low,Annual
88,11/12/2023,4,ต้องการความยืดหยุ่นในการทำงานมากขึ้น,Low,Monthly
89,4/5/2024,3,สมดุลการทำงานและชีวิตส่วนตัวดี,Medium,Annual
90,14/1/2024,5,ผู้บริหารให้การสนับสนุนพอใช้ได้,Low,Quarterly
91,21/9/2024,5,สมดุลชีวิตและการทำงานดี,Medium,Monthly
92,12/7/2024,2,รู้สึกมีส่วนร่วมมากขึ้นช่วงนี้,Medium,Quarterly
