Task_ID,Task_Type,Task_Complexity,Start_Date_Task,Due_Date_Task,Assigned_Employee_ID,Estimated_Hours,Actual_Hours,Status_Task
1,Analysis,Medium,23-01-2024,14-02-2024,1,14,0,Not Started
2,Documentation,Easy,16-01-2025,15-02-2025,1,33,11,In Progress
3,Documentation,Easy,23-08-2023,08-09-2023,2,28,0,Not Started
4,Consulting,Medium,07-11-2024,07-12-2024,2,39,10,In Progress
5,Analysis,Medium,24-03-2025,17-04-2025,2,5,0,Not Started
6,Documentation,Easy,31-08-2024,16-09-2024,2,25,0,Not Started
7,Analysis,Medium,20-04-2023,05-05-2023,2,18,5,In Progress
8,Analysis,Medium,18-10-2023,02-11-2023,2,35,0,On Hold
9,Consulting,Medium,10-09-2023,06-10-2023,2,6,3,Completed
10,Analysis,Medium,13-11-2023,24-11-2023,2,36,1,In Progress
11,Documentation,Easy,22-10-2024,20-11-2024,3,16,0,On Hold
12,Consulting,Medium,27-12-2024,08-01-2025,3,5,0,On Hold
13,Documentation,Easy,13-07-2024,31-07-2024,3,23,0,Not Started
14,Consulting,Medium,18-01-2024,14-02-2024,4,6,39,Completed
15,Consulting,Medium,14-12-2023,27-12-2023,4,8,0,Not Started
16,Documentation,Easy,12-06-2023,24-06-2023,4,17,38,Completed
17,Consulting,Medium,12-05-2023,04-06-2023,4,10,33,Completed
18,Documentation,Easy,20-08-2023,10-09-2023,4,8,28,Completed
19,Consulting,Medium,12-05-2023,11-06-2023,4,17,0,On Hold
20,Consulting,Medium,04-11-2024,12-11-2024,4,13,0,On Hold
21,Analysis,Medium,27-06-2023,07-07-2023,4,7,4,In Progress
22,Consulting,Medium,25-05-2023,24-06-2023,4,17,0,On Hold
23,Consulting,Medium,06-11-2023,13-11-2023,5,34,18,Completed
24,Documentation,Easy,22-03-2025,17-04-2025,6,10,35,Completed
25,Consulting,Medium,05-03-2024,25-03-2024,6,32,32,Completed
26,Consulting,Medium,23-09-2024,04-10-2024,6,14,34,In Progress
27,Consulting,Medium,19-03-2024,16-04-2024,6,39,29,In Progress
28,Analysis,Medium,06-04-2024,25-04-2024,6,20,0,Not Started
29,Consulting,Medium,30-01-2024,21-02-2024,7,12,3,In Progress
30,Consulting,Medium,26-08-2024,21-09-2024,8,6,0,On Hold
31,Analysis,Medium,23-01-2024,02-02-2024,8,30,38,Completed
32,Documentation,Easy,11-03-2024,05-04-2024,8,8,35,Completed
33,Documentation,Easy,06-09-2024,17-09-2024,8,5,0,On Hold
34,Analysis,Medium,26-11-2024,05-12-2024,8,18,0,Not Started
35,Analysis,Medium,21-09-2024,17-10-2024,8,38,26,In Progress
36,Consulting,Medium,20-03-2023,19-04-2023,8,10,0,On Hold
37,Consulting,Medium,18-11-2023,03-12-2023,8,40,18,Completed
38,Consulting,Medium,04-09-2024,21-09-2024,9,22,14,Completed
39,Analysis,Medium,04-09-2024,03-10-2024,9,7,0,Not Started
40,Documentation,Easy,04-09-2024,28-09-2024,9,33,4,In Progress
41,Documentation,Easy,20-11-2024,04-12-2024,9,18,0,Not Started
42,Documentation,Easy,14-02-2025,26-02-2025,9,31,9,In Progress
43,Consulting,Medium,04-09-2024,24-09-2024,9,27,35,In Progress
44,Analysis,Medium,04-09-2024,27-09-2024,9,27,30,Completed
45,Analysis,Medium,04-02-2025,27-02-2025,9,24,0,Not Started
46,Documentation,Easy,04-09-2024,12-09-2024,9,6,0,Not Started
47,Analysis,Medium,01-02-2025,25-02-2025,9,36,39,In Progress
48,Analysis,Medium,26-12-2024,03-01-2025,10,31,4,In Progress
49,Consulting,Medium,03-11-2023,02-12-2023,10,9,15,In Progress
50,Documentation,Easy,03-11-2023,10-11-2023,10,35,0,Not Started
51,Analysis,Medium,02-09-2024,02-10-2024,10,17,9,Completed
52,Analysis,Medium,12-04-2024,20-04-2024,10,16,0,Not Started
53,Analysis,Medium,26-06-2024,14-07-2024,10,28,0,Not Started
54,Documentation,Easy,11-03-2025,21-03-2025,10,40,0,Not Started
55,Analysis,Medium,22-03-2024,10-04-2024,11,6,14,In Progress
56,Analysis,Medium,21-10-2023,31-10-2023,11,35,20,In Progress
57,Documentation,Easy,22-05-2024,29-05-2024,11,15,0,On Hold
58,Analysis,Medium,12-01-2024,05-02-2024,11,19,0,Not Started
59,Documentation,Easy,21-10-2023,30-10-2023,11,39,0,Not Started
60,Documentation,Easy,14-03-2025,12-04-2025,12,14,23,In Progress
61,Documentation,Easy,22-05-2023,31-05-2023,12,9,0,Not Started
62,Documentation,Easy,07-04-2023,23-04-2023,12,17,4,Completed
63,Documentation,Easy,05-04-2023,22-04-2023,12,18,40,In Progress
